month_number,period,year,month_in_year,pro_revenue_k,team_revenue_k,enterprise_revenue_k,revenue_k,cost_of_revenue_k,operating_and_working_capital_k,free_cash_flow_k,ending_cash_k
1,2027-01,2027,1,0.1125,0.03125,0.026041666666666668,0.16979166666666665,0.015281249999999998,32.5,-32.34548958333333,1317.6545104166667
2,2027-02,2027,2,0.3375,0.09375,0.078125,0.509375,0.04584375,32.5,-32.03646875,1285.6180416666666
3,2027-03,2027,3,0.5625,0.15625,0.13020833333333334,0.8489583333333334,0.07640625,32.5,-31.727447916666666,1253.8905937499999
4,2027-04,2027,4,0.7875,0.21875,0.18229166666666666,1.1885416666666668,0.10696875000000002,32.5,-31.418427083333334,1222.4721666666665
5,2027-05,2027,5,1.0125,0.28125,0.234375,1.528125,0.13753125,32.5,-31.10940625,1191.3627604166666
6,2027-06,2027,6,1.2375,0.34375,0.2864583333333333,1.8677083333333333,0.16809375,32.5,-30.800385416666668,1160.562375
7,2027-07,2027,7,1.4625,0.40625,0.33854166666666663,2.2072916666666664,0.19865624999999998,32.5,-30.491364583333333,1130.0710104166667
8,2027-08,2027,8,1.6875,0.46875,0.390625,2.546875,0.22921875,32.5,-30.18234375,1099.8886666666667
9,2027-09,2027,9,1.9125,0.53125,0.4427083333333333,2.8864583333333336,0.25978125,32.5,-29.873322916666666,1070.01534375
10,2027-10,2027,10,2.1375,0.59375,0.4947916666666667,3.2260416666666667,0.29034375,32.5,-29.564302083333335,1040.4510416666667
11,2027-11,2027,11,2.3625,0.65625,0.546875,3.565625,0.32090624999999995,32.5,-29.25528125,1011.1957604166666
12,2027-12,2027,12,2.5875,0.71875,0.5989583333333334,3.9052083333333334,0.35146875,32.5,-28.946260416666668,982.2495
13,2028-01,2028,1,3.075,0.8541666666666666,0.7291666666666666,4.658333333333333,0.41924999999999996,46.25,-42.01091666666667,940.2385833333334
14,2028-02,2028,2,3.825,1.0625,0.9375,5.825,0.52425,46.25,-40.94925,899.2893333333334
15,2028-03,2028,3,4.575,1.2708333333333335,1.1458333333333335,6.991666666666667,0.62925,46.25,-39.88758333333333,859.4017500000001
16,2028-04,2028,4,5.325,1.4791666666666667,1.3541666666666667,8.158333333333333,0.73425,46.25,-38.825916666666664,820.5758333333334
17,2028-05,2028,5,6.075,1.6875,1.5625,9.325,0.8392499999999999,46.25,-37.764250000000004,782.8115833333334
18,2028-06,2028,6,6.825,1.8958333333333333,1.770833333333333,10.491666666666667,0.94425,46.25,-36.70258333333334,746.109
19,2028-07,2028,7,7.575,2.104166666666667,1.9791666666666667,11.658333333333333,1.04925,46.25,-35.64091666666667,710.4680833333334
20,2028-08,2028,8,8.325,2.3125,2.1875,12.825,1.15425,46.25,-34.57925,675.8888333333334
21,2028-09,2028,9,9.075,2.520833333333333,2.3958333333333335,13.991666666666665,1.2592499999999998,46.25,-33.517583333333334,642.3712500000001
22,2028-10,2028,10,9.825,2.729166666666667,2.6041666666666665,15.158333333333333,1.36425,46.25,-32.45591666666667,609.9153333333335
23,2028-11,2028,11,10.575,2.9375,2.8125,16.325,1.46925,46.25,-31.39425,578.5210833333335
24,2028-12,2028,12,11.325,3.1458333333333335,3.020833333333334,17.491666666666667,1.57425,46.25,-30.332583333333332,548.1885000000002
25,2029-01,2029,1,12.575,3.484375,3.3854166666666665,19.444791666666667,1.75003125,63.333333333333336,-45.63857291666667,502.54992708333356
26,2029-02,2029,2,14.325,3.953125,3.90625,22.184375,1.99659375,63.333333333333336,-43.145552083333335,459.40437500000024
27,2029-03,2029,3,16.075,4.421875,4.427083333333334,24.92395833333333,2.2431562499999997,63.333333333333336,-40.65253125,418.75184375000026
28,2029-04,2029,4,17.825,4.890625,4.947916666666666,27.663541666666667,2.4897187499999998,63.333333333333336,-38.15951041666667,380.5923333333336
29,2029-05,2029,5,19.575,5.359375,5.46875,30.403125,2.7362812499999998,63.333333333333336,-35.66648958333334,344.9258437500003
30,2029-06,2029,6,21.324999999999996,5.828125,5.989583333333332,33.14270833333333,2.98284375,63.333333333333336,-33.173468750000005,311.7523750000003
31,2029-07,2029,7,23.075,6.296875,6.510416666666668,35.88229166666667,3.22940625,63.333333333333336,-30.680447916666665,281.07192708333366
32,2029-08,2029,8,24.825,6.765625,7.03125,38.621875,3.4759687500000003,63.333333333333336,-28.187427083333333,252.88450000000034
33,2029-09,2029,9,26.575,7.234375,7.552083333333332,41.36145833333333,3.72253125,63.333333333333336,-25.694406250000007,227.19009375000033
34,2029-10,2029,10,28.325,7.703125,8.072916666666668,44.101041666666674,3.9690937500000008,63.333333333333336,-23.20138541666666,203.98870833333368
35,2029-11,2029,11,30.075,8.171875,8.59375,46.840625,4.21565625,63.333333333333336,-20.708364583333335,183.28034375000033
36,2029-12,2029,12,31.825000000000003,8.640625,9.114583333333334,49.58020833333334,4.46221875,63.333333333333336,-18.215343749999995,165.06500000000034
